entry_time,entry_price,qty,sl,tp,atr,exit_time,exit_price,exit_reason,pnl_usdt,pnl_pct
2024-11-15 09:00,89285.19,0.00323,87735.23,92385.11,1033.31,2024-11-17 22:00,89466.44,SIGNAL,0.2965,0.1
2024-12-06 14:00,99581.17,0.00291,97864.56,103014.39,1144.41,2024-12-09 08:00,98802.25,SIGNAL,-2.5542,-0.88
2025-01-20 06:00,107593.99,0.00192,105003.89,112774.19,1726.73,2025-01-20 15:00,105003.89,SL,-5.1746,-2.5
2025-01-21 18:00,106968.04,0.00219,104702.19,111499.74,1510.57,2025-01-22 08:00,104702.19,SL,-5.1915,-2.22
2025-01-24 06:00,105096.0,0.00265,103231.87,108824.26,1242.75,2025-01-26 23:00,103231.87,SL,-5.2135,-1.87
2025-05-26 03:00,109733.15,0.00519,108787.93,111623.61,630.15,2025-05-27 01:00,108787.93,SL,-5.4703,-0.96
2025-07-02 13:00,107875.97,0.00744,107221.12,109185.67,436.57,2025-07-02 16:00,109185.67,TP,8.9318,1.11
2025-07-08 13:00,109143.64,0.00916,108607.35,110216.24,357.53,2025-07-08 14:00,108607.35,SL,-5.9073,-0.59
2025-07-21 07:00,119482.03,0.00612,118685.15,121075.79,531.25,2025-07-21 09:00,118685.15,SL,-5.6033,-0.77
2025-07-22 12:00,119412.99,0.00469,118378.62,121481.73,689.58,2025-07-22 13:00,118378.62,SL,-5.4064,-0.97
2025-07-24 00:00,119179.06,0.00504,118223.16,121090.86,637.27,2025-07-24 04:00,118223.16,SL,-5.4136,-0.9
2025-12-12 02:00,92681.38,0.0038,91422.68,95198.78,839.13,2025-12-12 15:00,91422.68,SL,-5.1305,-1.46
2026-04-20 19:00,76373.26,0.00602,75582.33,77955.11,527.29,2026-04-21 02:00,75582.33,SL,-5.2164,-1.13
2026-05-14 18:00,81663.57,0.00619,80899.18,83192.35,509.59,2026-05-15 02:00,80899.18,SL,-5.2323,-1.04
