entry_time,entry_price,qty,sl,tp,atr,exit_time,exit_price,exit_reason,pnl_usdt,pnl_pct
2023-11-28 14:00,37404.73,0.01402,37769.83,38117.88,178.29,2023-11-28 23:00,37769.83,SL,4.5892,0.88
2023-12-14 10:00,43001.18,0.00911,42694.3,44103.09,275.48,2023-12-14 13:00,42694.3,SL,-3.1846,-0.81
2023-12-19 09:00,43080.19,0.00816,42513.54,44306.38,306.55,2023-12-19 14:00,42513.54,SL,-4.9708,-1.41
2024-03-25 13:00,68051.98,0.00442,69648.37,70302.45,562.62,2024-03-25 21:00,69648.37,SL,6.7482,2.24
2024-04-07 01:00,69611.19,0.00591,69294.42,71306.91,423.93,2024-04-07 18:00,69294.42,SL,-2.2816,-0.55
2024-05-31 02:00,68608.53,0.00615,67796.81,70231.98,405.86,2024-05-31 09:00,67882.05,SIGNAL,-4.8853,-1.16
2024-05-31 10:00,68401.66,0.00726,67926.21,69770.28,342.15,2024-05-31 14:00,67926.21,SL,-3.9449,-0.79
2024-06-03 09:00,69083.89,0.00735,69014.06,70429.06,336.29,2024-06-03 14:00,69014.06,SL,-1.0205,-0.2
2024-06-10 17:00,70113.04,0.00971,69604.38,71130.36,254.33,2024-06-10 19:00,69604.38,SL,-5.6149,-0.82
2024-07-25 22:00,65709.64,0.00427,66982.55,68007.94,574.57,2024-07-26 14:00,66982.55,SL,5.1493,1.84
2024-10-07 06:00,63769.71,0.00781,63137.99,65033.13,315.86,2024-10-07 09:00,63137.99,SL,-5.4268,-1.09
2024-10-12 12:00,63119.32,0.00861,62785.43,64257.44,284.53,2024-10-13 02:00,62785.43,SL,-3.4154,-0.63
2024-10-24 00:00,67499.44,0.00545,67514.75,69290.71,447.82,2024-10-25 07:00,67514.75,SL,-0.2845,-0.08
2024-11-28 00:00,96648.56,0.00318,95115.22,99715.24,766.67,2024-11-28 03:00,95115.22,SL,-5.1785,-1.68
2024-12-03 23:00,95945.54,0.0035,94558.01,98720.6,693.77,2024-12-04 00:00,95650.67,SIGNAL,-1.3668,-0.41
2024-12-04 01:00,96312.22,0.0034,95664.82,99158.38,711.54,2024-12-04 13:00,95664.82,SL,-2.5264,-0.77
2024-12-11 19:00,101223.83,0.0027,100314.74,104794.3,892.62,2024-12-12 19:00,100314.74,SL,-2.7254,-1.0
2025-01-30 05:00,105481.08,0.003,104507.34,108688.4,801.83,2025-01-31 00:00,104507.34,SL,-3.2347,-1.02
2025-06-08 12:00,105827.22,0.00812,105733.09,107007.93,295.18,2025-06-08 22:00,105733.09,SL,-1.6229,-0.19
2025-07-27 09:00,118061.86,0.00945,118780.14,119074.04,253.04,2025-07-28 07:00,118780.14,SL,5.6653,0.51
2025-07-31 06:00,118810.47,0.00477,117803.21,120824.99,503.63,2025-07-31 17:00,117803.21,SL,-5.3666,-0.95
2025-08-07 20:00,117299.37,0.00446,116508.18,119440.95,535.39,2025-08-08 05:00,116508.18,SL,-4.0483,-0.77
2026-04-29 11:00,77667.62,0.00689,76977.94,79046.98,344.84,2026-04-29 12:00,76977.94,SL,-5.2823,-0.99
2026-05-01 14:00,78437.11,0.0053,78332.38,80219.67,445.64,2026-05-03 01:00,78332.38,SL,-0.9702,-0.23
2026-05-14 20:00,81493.45,0.00476,80587.2,83475.26,495.45,2026-05-15 05:00,80587.2,SL,-4.6973,-1.21
